Product_id,Review Text,Product Category
P0001,Perfect fit and comfortable.,Clothing
P0002,Blends smoothies to perfection.,Electronics
P0003,Soles wore out quickly.,Clothing
P0004,Developed a water leak.,Electronics
P0005,Very comfortable and stylish.,Clothing
P0006,Bakes evenly every time.,Home Appliances
P0007,Runs quietly and efficiently.,Home Appliances
P0008,Picture is vivid and sharp.,Electronics
P0009,Makes loud noises during spin.,Home Appliances
P0010,Dust bin is hard to empty.,Home Appliances
P0011,Color faded after first wash.,Clothing
P0012,Stopped charging properly after a month.,Electronics
P0013,Noise cancelling barely works.,Electronics
P0014,Very comfortable and stylish.,Clothing
P0015,Smart features are slow and buggy.,Electronics
P0016,Smart features are slow and buggy.,Electronics
P0017,Color faded after first wash.,Clothing
P0018,Picks up pet hair easily.,Home Appliances
P0019,Blends smoothies to perfection.,Electronics
P0020,Remote control is convenient.,Home Appliances
P0021,Picture is vivid and sharp.,Electronics
P0022,Temperature settings are inaccurate.,Home Appliances
P0023,Very powerful suction.,Home Appliances
P0024,Door doesn't close properly.,Home Appliances
P0025,Seams started coming apart quickly.,Clothing
P0026,Picks up pet hair easily.,Home Appliances
P0027,Blends smoothies to perfection.,Electronics
P0028,Started leaking after a few uses.,Home Appliances
P0029,Picture is vivid and sharp.,Electronics
P0030,Very comfortable and stylish.,Clothing
P0031,Seams started coming apart quickly.,Clothing
P0032,Stopped working after a month.,Home Appliances
P0033,Very powerful suction.,Electronics
P0034,Battery lasts all day even with heavy use.,Electronics
P0035,Temperature settings are inaccurate.,Home Appliances
P0036,Very comfortable and stylish.,Clothing
P0037,Developed a water leak.,Electronics
P0038,Temperature settings are inaccurate.,Home Appliances
P0039,Battery lasts all day even with heavy use.,Electronics
P0040,Motor overheats easily.,Electronics
P0041,Very comfortable and stylish.,Clothing
P0042,Noise cancelling barely works.,Electronics
P0043,Stitching came undone.,Clothing
P0044,Material is average.,Clothing
P0045,Blades became dull quickly.,Home Appliances
P0046,Temperature settings are inaccurate.,Home Appliances
P0047,Stopped charging properly after a month.,Electronics
P0048,Material is average.,Clothing
P0049,Makes loud noises during spin.,Home Appliances
P0050,Fabric is soft and comfortable.,Clothing
P0051,Blends smoothies to perfection.,Electronics
P0052,Material is average.,Clothing
P0053,Developed a water leak.,Electronics
P0054,Bakes evenly every time.,Home Appliances
P0055,Developed a water leak.,Electronics
P0056,Runs quietly and efficiently.,Home Appliances
P0057,Picks up pet hair easily.,Home Appliances
P0058,Started leaking after a few uses.,Home Appliances
P0059,Very powerful suction.,Home Appliances
P0060,Battery lasts all day even with heavy use.,Electronics
P0061,Camera quality is outstanding for the price.,Electronics
P0062,Door doesn't close properly.,Home Appliances
P0063,Beautiful color and fits perfectly.,Clothing
P0064,Too tight around the waist.,Clothing
P0065,Blends smoothies to perfection.,Electronics
P0066,Bakes evenly every time.,Home Appliances
P0067,Very powerful suction.,Home Appliances
P0068,Too tight around the waist.,Clothing
P0069,Remote control feels cheap.,Electronics
